year,area,concept,computer,metric,value
2000,SWE,math_score,never,mean_se,23.1792664818439
2000,SWE,math_score,weekly,mean,513.581173437898
2000,SWE,math_score,weekly,mean_se,15.452386944368
2000,SWE,math_score,yearly,mean,520.11366757393
2000,SWE,math_score,yearly,mean_se,35.8573088447462
2000,SWE,reading_score,daily,mean,502.015154043046
2000,SWE,reading_score,daily,mean_se,3.72476330892354
2000,SWE,reading_score,monthly,mean,528.130307623047
2000,SWE,reading_score,monthly,mean_se,3.64334380926476
2000,SWE,reading_score,never,mean,531.583477133718
2000,SWE,reading_score,never,mean_se,4.74851349289931
2000,SWE,reading_score,weekly,mean,515.065966373852
2000,SWE,reading_score,weekly,mean_se,3.23076727474181
2000,SWE,reading_score,yearly,mean,537.127720086605
2000,SWE,reading_score,yearly,mean_se,4.27987445274163
2000,EU28,math_score,daily,mean,494.517748436686
2000,EU28,math_score,daily,mean_se,2.98905115119817
2000,EU28,math_score,monthly,mean,502.055122340792
2000,EU28,math_score,monthly,mean_se,7.36515513175506
2000,EU28,math_score,never,mean,487.814253375528
2000,EU28,math_score,never,mean_se,4.15197086185995
2000,EU28,math_score,weekly,mean,509.709455495939
2000,EU28,math_score,weekly,mean_se,3.40744392817979
2000,EU28,math_score,yearly,mean,503.265356266607
2000,EU28,math_score,yearly,mean_se,4.65938657962722
2000,EU28,reading_score,daily,mean,496.713369825618
2000,EU28,reading_score,daily,mean_se,1.60592743018663
2000,EU28,reading_score,monthly,mean,499.999719031061
2000,EU28,reading_score,monthly,mean_se,2.22832158352961
2000,EU28,reading_score,never,mean,496.614473167645
2000,EU28,reading_score,never,mean_se,1.74534515824986
2000,EU28,reading_score,weekly,mean,509.750505089568
2000,EU28,reading_score,weekly,mean_se,1.51746943967385
2000,EU28,reading_score,yearly,mean,503.687017351382
2000,EU28,reading_score,yearly,mean_se,1.95161428392329
2003,AUT,math_score,daily,mean,519.764246192648
2003,AUT,math_score,daily,mean_se,13.3999832413208
2003,AUT,math_score,monthly,mean,495.442290113236
2003,AUT,math_score,monthly,mean_se,17.9215936623067
2003,AUT,math_score,never,mean,452.967642562527
2003,AUT,math_score,never,mean_se,66.2882024784548
2003,AUT,math_score,weekly,mean,509.773710966024
2003,AUT,math_score,weekly,mean_se,16.9856066461616
2003,AUT,math_score,yearly,mean,463.925948824599
2003,AUT,math_score,yearly,mean_se,109.085805349303
2003,AUT,reading_score,daily,mean,505.631576277421
2003,AUT,reading_score,daily,mean_se,3.76864616712124
2003,AUT,reading_score,monthly,mean,482.032155340312
2003,AUT,reading_score,monthly,mean_se,4.97724509159555
2003,AUT,reading_score,never,mean,432.416861269566
2003,AUT,reading_score,never,mean_se,9.14259678720832
2003,AUT,reading_score,weekly,mean,497.536486635685
2003,AUT,reading_score,weekly,mean_se,4.68218009174244
2003,AUT,reading_score,yearly,mean,437.558791208263
2003,AUT,reading_score,yearly,mean_se,16.7771867899973
2003,BEL,math_score,daily,mean,556.099544069952
2003,BEL,math_score,daily,mean_se,5.995497688668
2003,BEL,math_score,monthly,mean,525.930339641198
2003,BEL,math_score,monthly,mean_se,20.5898235804057
2003,BEL,math_score,never,mean,443.498372520367
2003,BEL,math_score,never,mean_se,46.6255380296905
2003,BEL,math_score,weekly,mean,540.202790973902
2003,BEL,math_score,weekly,mean_se,11.0387790537145
2003,BEL,math_score,yearly,mean,484.757681713635
2003,BEL,math_score,yearly,mean_se,42.7572910695586
2003,BEL,reading_score,daily,mean,531.033349002451
2003,BEL,reading_score,daily,mean_se,2.62851862522709
2003,BEL,reading_score,monthly,mean,512.859845119878
2003,BEL,reading_score,monthly,mean_se,4.15519245765609
2003,BEL,reading_score,never,mean,435.575694856942
2003,BEL,reading_score,never,mean_se,8.49276932403638
2003,BEL,reading_score,weekly,mean,521.183724689005
2003,BEL,reading_score,weekly,mean_se,3.96656251760925
2003,BEL,reading_score,yearly,mean,473.368737553211
2003,BEL,reading_score,yearly,mean_se,9.7780620429875
2003,CZE,math_score,daily,mean,542.660726434692
2003,CZE,math_score,daily,mean_se,12.7148552340242
2003,CZE,math_score,monthly,mean,524.716963512417
2003,CZE,math_score,monthly,mean_se,22.5475453954595
2003,CZE,math_score,never,mean,489.60894067757
2003,CZE,math_score,never,mean_se,19.8186117524966
2003,CZE,math_score,weekly,mean,538.89120529945
