year,area,concept,hisced,metric,value
2003,PRT,reading_score,low,mean_se,3.84137505012591
2003,PRT,reading_score,medium,mean,500.22156890643
2003,PRT,reading_score,medium,mean_se,3.94646625920571
2003,SVK,math_score,high,mean,544.554871929217
2003,SVK,math_score,high,mean_se,12.1351868282933
2003,SVK,math_score,low,mean,401.159349833385
2003,SVK,math_score,low,mean_se,156.612239908867
2003,SVK,math_score,medium,mean,486.091035610069
2003,SVK,math_score,medium,mean_se,9.59385846660724
2003,SVK,reading_score,high,mean,506.529664840584
2003,SVK,reading_score,high,mean_se,3.4073423591375
2003,SVK,reading_score,low,mean,378.722093221595
2003,SVK,reading_score,low,mean_se,13.651300542615
2003,SVK,reading_score,medium,mean,460.376638510661
2003,SVK,reading_score,medium,mean_se,3.09033127749811
2003,SWE,math_score,high,mean,520.559275664136
2003,SWE,math_score,high,mean_se,7.53673174988833
2003,SWE,math_score,low,mean,461.443736254578
2003,SWE,math_score,low,mean_se,22.8624852708773
2003,SWE,math_score,medium,mean,511.580445231772
2003,SWE,math_score,medium,mean_se,9.36820613933525
2003,SWE,reading_score,high,mean,525.930076674699
2003,SWE,reading_score,high,mean_se,2.64974186101902
2003,SWE,reading_score,low,mean,464.275056208105
2003,SWE,reading_score,low,mean_se,5.78207557701073
2003,SWE,reading_score,medium,mean,519.612621846557
2003,SWE,reading_score,medium,mean_se,2.89137728450703
2003,EU28,math_score,high,mean,530.394930346441
2003,EU28,math_score,high,mean_se,1.66886268431736
2003,EU28,math_score,low,mean,451.725925092582
2003,EU28,math_score,low,mean_se,2.68149513853286
2003,EU28,math_score,medium,mean,497.12235536616
2003,EU28,math_score,medium,mean_se,1.07622898219557
2003,EU28,reading_score,high,mean,523.372319820849
2003,EU28,reading_score,high,mean_se,1.30760131421139
2003,EU28,reading_score,low,mean,449.150550939809
2003,EU28,reading_score,low,mean_se,1.9410699099546
2003,EU28,reading_score,medium,mean,494.507722976925
2003,EU28,reading_score,medium,mean_se,1.0580113538202
2006,AUT,math_score,high,mean,513.19385891505
2006,AUT,math_score,high,mean_se,12.8397767730485
2006,AUT,math_score,low,mean,426.417484674045
2006,AUT,math_score,low,mean_se,217.815848698476
2006,AUT,math_score,medium,mean,504.564329705279
2006,AUT,math_score,medium,mean_se,16.2408099008689
2006,AUT,reading_score,high,mean,500.157407676148
2006,AUT,reading_score,high,mean_se,4.0408421737154
